"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"202309","서해선","김포공항","28","6","279","1972","514","6180","1493","8172","2419","8919","2675","6638","3076","6642","3429","7177","3253","7556","4745","7460","5462","6552","6448","6067","6364","6359","8109","7274","9480","6240","6820","3364","5777","1421","6306","910","4818","651","1616","900","55","298","0","0","0","0","0","0","20231003"
"202308","5호선","김포공항","6","0","686","3011","3109","9817","12286","16388","15451","20023","10048","13438","10302","15978","12292","17700","12988","17917","15621","19014","18794","17554","21916","16539","22112","16532","27139","16258","28894","15457","19583","8523","16371","4165","15461","2566","13486","1646","4607","999","286","456","0","1","0","0","0","0","20230903"
"202308","9호선","김포공항","19","1","750","2295","2844","14031","8971","18807","9814","20346","7826","18590","8367","21802","10589","22926","11213","24698","13368","24342","15546","24965","18761","22257","17024","24580","19310","28278","21484","26255","15658","14444","13508","6376","13042","3870","11398","3015","3751","2114","108","1456","1","21","0","3","0","0","20230903"
"202308","경의선","김포공항","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20230903"
"202308","공항철도 1호선","김포공항","24","1","1888","2141","3482","11496","7067","19938","13927","17406","17175","10745","19586","10322","21031","10866","18282","12049","20619","11637","22873","10657","24325","10035","18275","10812","23756","12485","28114","10429","19656","5616","17184","2926","20948","1773","18481","1576","6855","1069","179","700","0","15","0","0","0","0","20230903"
"202308","서해선","김포공항","31","0","242","1546","531","5589","1224","7672","1914","8752","2628","5887","2933","6851","3292","7985","3335","8369","5055","7729","5991","6770","6879","5993","6711","6041","7978","6563","9265","5949","6435","3175","5682","1388","6478","789","4917","583","1605","731","37","358","0","0","0","0","0","0","20230903"
"202307","5호선","김포공항","12","1","608","3087","2803","10113","10653","15259","13284","18831","9655","12922","10124","15677","12165","17886","13572","18013","16066","18577","19054","17669","21440","16497","21971","16839","26344","16967","28748","16095","20130","9392","17320","4634","16181","2816","12813","1769","5316","1099","280","494","0","0","0","0","0","0","20230803"
"202307","9호선","김포공항","8","2","789","2345","2900","15003","8530","17999","9341","20678","7791","18743","8378","21902","10350","23404","11842","23309","13530","24543","15872","24582","18811","23055","16823","25628","19187","29123","20889","27768","16170","15591","14027","6854","13356","4017","10360","3074","3973","2353","125","1361","2","28","0","0","0","0","20230803"
"202307","경의선","김포공항","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","20230803"
"202307","공항철도 1호선","김포공항","20","0","1881","2191","3549","12568","6562","20482","13878","17314","17862","10770","19283","10557","20816","11211","18967","11964","20777","11616","22352","10674","23415","10140","18945","11008","24766","12536","28005","10843","21286","6225","18387","3039","21516","1768","17583","1565","8452","1055","235","756","0","16","0","0","0","0","20230803"
"202307","서해선","김포공항","44","13","189","1380","548","5313","991","6921","1657","7615","2189","5456","2592","6857","2936","8185","3291","8574","4560","8103","5959","7266","7095","6445","7001","6298","8039","6838","8885","5745","6448","3367","5718","1550","6109","822","4303","662","1850","944","46","422","0","0","0","0","0","0","20230803"
"202306","5호선","김포공항","2","0","562","3009","2508","10951","8301","14606","11440","18061","8788","13597","9802","15938","11605","16894","12899","17744","15353","18393","16708","16932","18990","16294","18576","17109","23169","17496","25960","16451","18291","9303","15456","4577","14337","2568","11982","1814","5540","1182","281","555","0","1","0","0","0","0","20230703"
"202306","9호선","김포공항","6","3","931","2278","3305","16728","9884","20500","11471","22387","8831","21139","9821","22352","11378","22318","12454","23934","14288","25116","15609","24064","19132","23308","17084","26438","19686","30426","21758","30263","17273","16482","14575","7047","14112","4545","11456","3603","5027","2481","130","1425","1","27","0","0","0","0","20230703"
"202306","공항철도 1호선","김포공항","17","0","2133","2287","4103","13221","8067","21241","15368","18777","18177","12011","21241","10878","21830","10917","19570","12408","22973","12131","22709","10508","24532","10489","20696","12041","26782","13279","29577","12361","22936","6546","19432","2937","21620","2007","18133","1798","10191","1289","178","787","2","17","0","0","0","0","20230703"
"202305","5호선","김포공항","6","0","589","3294","2112","11469","5938","15400","9563","18231","9236","13731","9517","15237","11397","16826","12757","17337","15229","18411","16657","16693","18698","16201","18224","17227","23260","17288","26368","16450","18865","9518","15813","4676","14307","2598","11904","1747","4940","1259","288","588","0","1","0","0","0","0","20230603"
"202305","9호선","김포공항","5","0","1174","2534","2940","17157","7514","21739","10205","22553","9402","19924","10269","21265","11086","21864","12498","23153","14775","24988","15853","23675","18216","21771","16861","25939","20415","30028","22310","28672","17757","16173","14943","7474","14465","4395","11682","3453","4532","2287","173","1371","2","19","0","0","0","0","20230603"
"202305","경의선","김포공항","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20230603"
"202305","공항철도 1호선","김포공항","13","2","2204","2326","4034","13960","7671","22043","15490","19146","19901","11517","20356","10929","20838","11424","20241","12375","23240","13047","22538","10991","23418","10356","18524","12097","27880","13265","29764","12206","22892","6835","20760","3318","21704","2099","18113","1950","8291","1248","315","759","0","16","0","0","0","0","20230603"
"202304","5호선","김포공항","1","2","571","2856","2002","10968","5421","15652","8785","17630","8671","12731","9461","14432","11147","16153","12097","16163","14214","17170","15905","16167","17860","15624","16396","16646","21677","16474","25497","15517","17858","9011","13775","4196","13771","2613","11712","1715","5235","1173","273","504","0","1","0","0","0","0","20230503"
"202304","9호선","김포공항","2","1","974","1960","2667","14264","7092","20237","9840","20829","8986","17790","10024","19835","11005","19788","11684","20576","13641","22172","14802","21753","17482","20588","14621","25045","18023","27746","20574","27422","16632","15759","13036","6927","13407","4331","11001","3331","4413","2108","178","1235","0","18","0","0","1","1","20230503"
"202304","공항철도 1호선","김포공항","19","1","2162","2165","3959","12777","7759","22624","14828","19798","17618","11700","18953","11018","19701","10802","18386","11654","21453","12333","21471","10605","22871","10526","16740","12203","26086","13373","28306","12078","20900","7080","16713","3224","22270","2013","17842","1812","9527","1292","292","678","1","11","0","0","0","0","20230503"
